index,word
0,there
1,you
2,have
3,my
4,word
5,as
6,a
7,gentleman
8,hi
9,well
10,no
11,do
12,listen
13,to
14,this
15,crap
16,i
17,figured
18,would
19,get
20,the
21,good
22,stuff
23,eventually
24,wow
25,she
26,okay
27,they
28,did
29,change
30,your
31,hair
32,where
33,he
34,go
35,was
36,just
37,here
38,great
39,be
40,home
41,in
42,twenty
43,minutes
44,been
45,joey
46,never
47,told
48,we
49,went
50,out
51,
52,th
53,for
54,month
55,like
56,total
57,babe
58,now
59,back
60,then
61,different
62,story
63,looked
64,beautiful
65,last
66,night
67,know
68,let
69,but
70,does
71,not
72,want
73,date
74,daddy
75,people
76,expect
77,me
78,oh
79,god
80,it
81,is
82,starting
83,new
84,guy
85,how
86,many
87,were
88,old
89,school
90,what
91,about
92,him
93,actually
94,say
95,with
96,her
97,favorite
98,uncle
99,pretty
100,cameron
101,am
102,little
103,busy
104,girl
105,worst
106,hey
107,mind
108,ya
109,goin
110,leave
111,sister
112,alone
113,yeah
114,hundred
115,bucks
116,time
117,nope
118,came
119,by
120,chat
121,always
122,look
123,so
124,think
125,will
126,work
127,seen
128,s
129,way
130,attention
131,pick
132,up
133,friday
134,excuse
135,wanna
136,are
137,uh
138,lie
139,down
140,and
141,sleep
142,why
143,doing
144,care
145,if
146,die
147,thought
148,above
149,all
150,that
151,kat
152,wake
153,when
154,gone
155,year
156,jail
157,should
158,who
159,heard
160,poetry
161,reading
162,put
163,right
164,foot
165,soft
166,side
167,knew
168,disappoint
169,them
170,from
171,start
172,covered
173,screwed
174,request
175,or
176,command
177,something
178,had
179,tell
180,dance
181,fun
182,tired
183,of
184,breathing
185,cool
186,pictures
187,fan
188,too
189,ever
190,club
191,skunk
192,honey
193,anything
194,listening
195,chicken
196,ass
197,devil
198,child
199,could
200,years
201,perhaps
202,meant
203,live
204,woman
205,said
206,yes
207,asking
208,swear
209,cannot
210,stay
211,us
212,letters
213,appointment
214,seem
215,special
216,talent
217,making
218,friends
219,come
220,speak
221,first
222,bring
223,also
224,medicine
225,week
226,intends
227,lies
228,suppose
229,both
230,men
231,read
232,can
233,meet
234,man
235,lost
236,attorney
237,emil
238,insane
239,coming
240,worry
241,yourself
242,half
243,fair
244,on
245,small
246,boy
247,send
248,married
249,take
250,place
251,turn
252,tricks
253,before
254,whore
255,alright
256,coffee
257,make
258,some
259,shower
260,gonna
261,end
262,career
263,probably
264,mine
265,tomorrow
266,at
267,lunch
268,only
269,one
270,guys
271,checked
272,hit
273,popular
274,sudden
275,folks
276,ride
277,along
278,two
279,heads
280,thirsty
281,fucked
282,even
283,true
284,girlfriend
285,serious
286,took
287,kill
288,someone
289,famous
290,victims
291,crime
292,scene
293,eddie
294,promise
295,thank
296,getting
297,moody
298,ready
299,any
300,chance
301,again
302,bones
303,his
304,gun
305,next
306,see
307,documents
308,please
309,much
310,money
311,carrying
312,join
313,forward
314,weeks
315,fool
316,around
317,times
318,square
319,movies
320,bathroom
321,shit
322,hate
323,looking
324,shot
325,got
326,job
327,robert
328,trying
329,cheap
330,hotel
331,ahead
332,naw
333,sure
334,suspect
335,mouth
336,clean
337,outta
338,car
339,tommy
340,continued
341,frank
342,really
343,kidding
344,hal
345,bad
346,space
347,station
348,five
349,darling
350,having
351,party
352,mrs
353,brown
354,sweetheart
355,lovely
356,birthday
357,bye
358,very
359,being
360,understanding
361,roger
362,three
363,maybe
364,better
365,black
366,russian
367,drive
368,awhile
369,paid
370,life
371,hurry
372,police
373,drop
374,goddamn
375,help
376,ganz
377,lying
378,son
379,bitch
380,after
381,cop
382,forever
383,bullshit
384,luther
385,part
386,gang
387,works
388,real
389,brothers
390,waiting
391,long
392,million
393,split
394,staying
395,notice
396,funny
397,bus
398,late
399,closing
400,kiss
401,bell
402,happened
403,awful
404,red
405,tape
406,wanted
407,wet
408,makes
409,nice
410,jack
411,hopeless
412,call
413,later
414,guess
415,must
416,slow
417,news
418,day
419,wonder
